observation_date,ICSA,CPIMEDICARE,USWTRADE,BBKMLEIX,COMLOAN,UMCSENT,MANEMP,fedfunds,PSTAX,USCONS,USGOOD,USINFO,CPIAPP,CSUSHPISA,SECURITYBANK,SRVPRD,INDPRO,TB6MS,UNEMPLOY,USTPU,recession
1987-01-01,345600.0,126.7,4917.8,-1.3519770660216168,21.7,90.4,17465,6.43,450.732,5007,23232,2472,108.0,63.964,4.5,77446,55.9911,5.44,7892,20964,0
1987-02-01,348750.0,127.2,4929.0,-1.1084015474286708,-4.5,90.2,17499,6.1,450.732,5038,23296,2477,108.6,64.422,3.7,77623,56.7373,5.59,7865,21018,0
1987-03-01,333250.0,127.8,4933.4,-1.1291883666182223,2.2,90.8,17507,6.13,450.732,5039,23307,2484,109.2,64.735,5.5,77857,56.8136,5.6,7862,21081,0
1987-04-01,336250.0,128.6,4945.0,-1.1254607356581428,2.2,92.8,17525,6.37,511.671,5053,23342,2492,109.8,65.131,6.9,78157,57.185,5.9,7542,21159,0
1987-05-01,331000.0,129.2,4948.6,-1.0569530963844092,3.9,91.1,17542,6.85,511.671,5080,23390,2496,110.3,65.562,9.2,78338,57.5424,6.05,7574,21188,0
1987-06-01,322250.0,130.0,4953.2,-1.1752434931517903,5.6,91.5,17537,6.73,511.671,5086,23390,2501,110.3,66.07,1.8,78510,57.8502,5.99,7398,21244,0
1987-07-01,319250.0,130.6,4962.4,-1.049980607934022,-2.9,93.7,17593,6.58,488.976,5092,23455,2508,110.3,66.507,8.6,78792,58.2421,5.76,7268,21298,0
1987-08-01,325600.0,131.2,4975.7,-0.8634108512575752,0.8,94.4,17630,6.73,488.976,5102,23506,2516,111.0,66.937,8.3,78914,58.6784,6.15,7261,21336,0
1987-09-01,309750.0,131.9,4987.0,-1.073389971214454,14.9,93.6,17691,7.22,488.976,5096,23566,2526,111.6,67.331,5.5,79081,58.9088,6.64,7102,21399,0
1987-10-01,300000.0,132.4,5001.2,-0.9044154592849404,4.0,89.3,17729,7.29,506.969,5142,23655,2533,112.3,67.73899999999999,-1.8,79483,59.7008,6.69,7227,21489,0
